project,COM-1,COM-3,POP-4,STA-1,STA-2,STA-4,STA-5,STA-6,STA-7,STA-10,STA-11,STA-12,TEC-1,TEC-2.1,TEC-2.2,TEC-2.3,TEC-2.4,TEC-4,TEC-5,SWQ-1,SWQ-4.1,SWQ-4.2,SWQ-4.3,SWQ-4.4,SWQ-4.5,SWQ-4.6,SWQ-4.7,init,end,frequency(weeks),project_url
Cayenne,6469149.897002547,4217,701,2009-05-21 01:05:37,-54,127,10,1,False,1,288,63,0,80699,59764,32204,76001,2019,6387,0.015230478438056529,67.83,0,7,5,27,11.993055436771975,1258,2009-05-21,2023-05-23,12,https://github.com/apache/Cayenne
ActiveMQ,12153225.602677926,26585,5673,2009-05-21 01:33:45,76,1377,25,4,False,-3,2818,160,1180,20059,59265,76315,74747,220,13769,0.08365180467091295,106.73,17,4,12,41,28.33157768888257,235,2009-05-21,2023-05-22,12,https://github.com/apache/ActiveMQ
Gora,8533466.21479239,2707,337,2014-05-19 07:00:07,50,117,8,5,False,-7,163,55,146,32335,64072,31982,48323,386,1223,0.01793986355596732,32.45,33,0,0,5,14.398746572659617,185,2014-05-19,2023-04-20,12,https://github.com/apache/Gora
Fineract,9456660.515387656,6642,3134,2015-12-22 08:00:06,-64,1252,17,10,False,6,482,147,564,66019,27157,50058,31848,537,6830,0.013996060368192656,21.47,0,8,25,94,19.404185082931686,491,2015-12-22,2023-05-30,12,https://github.com/apache/Fineract
Marmotta,3973982.483487847,1615,161,2014-01-22 08:00:07,318,55,-1,2,False,-6,97,26,0,72643,-1,270,47530,220,2211,0.013849514337500582,19.08,29,1,2,17,17.31584083805853,193,2014-01-22,2021-02-23,12,https://github.com/apache/Marmotta
logging-log4net,26779525.880734753,841,1782,2017-04-26 07:00:06,260,308,-11,2,False,-3,183,17,114,50926,-1,5814,27388,126,2285,0.0652377972465582,18.34,19,0,4,7,11.468562541657409,207,2017-04-26,2023-05-20,12,https://github.com/apache/logging-log4net
Mnemonic,2303207.7715053526,1844,290,2016-03-29 07:00:06,46,66,-13,1,False,0,81,34,95,22868,-1,21892,17137,117,585,0.04664723032069971,33.01,14,0,1,4,32.55459216441876,152,2016-03-29,2023-05-31,12,https://github.com/apache/Mnemonic
NPanday,14766849.694194756,1040,43,2010-09-18 07:00:08,46,15,3,3,True,-2,62,7,0,64002,-1,0,71660,109,2020,0.015419091578031976,26.47,43,0,5,14,15.715368785876747,212,2010-09-18,2023-05-31,12,https://github.com/apache/NPanday
OODT,7170435.904155253,2387,188,2013-01-21 08:00:15,129,64,5,3,False,-9,129,52,223,57491,16789,59394,64863,777,2135,0.0011474151044206138,24.07,45,0,11,13,34.5919090075827,167,2013-01-21,2023-04-17,12,https://github.com/apache/OODT
climate,3699731.3453513547,4036,390,2014-03-08 08:00:06,132,116,-49,3,False,-8,84,43,65,6586,-1,22150,79733,184,2868,0.008533616854592765,37.66,36,6,2,16,20.281325407568712,405,2014-03-08,2020-10-05,12,https://github.com/apache/climate
incubator-retired-OpenAz,6699475.030000001,33,58,2015-04-11 07:00:06,38,26,3,2,False,-1,16,6,0,62155,-1,78363,38646,4,68,0.0,118.24,12,7,6,32,18.16517751961868,463,2015-04-11,2016-10-20,12,https://github.com/apache/incubator-retired-OpenAz
incubator-retired-Pirk,459950.6767878788,526,142,2016-06-19 07:00:06,231,26,-88,1,False,-6,26,10,0,32676,-1,30487,39786,76,219,7.052426831071627e-05,30.12,2,0,0,7,10.345285524568393,184,2016-06-19,2017-06-16,12,https://github.com/apache/incubator-retired-Pirk
OpenNLP,13268994.84399815,4979,2896,2011-11-09 08:00:09,51,424,3,2,False,5,302,65,134,6125,85681,86393,69646,82,2838,0.022605736509479824,27.82,11,9,6,36,21.588981866298898,522,2011-11-09,2023-07-04,12,https://github.com/apache/OpenNLP
PredictionIO,Issues missing,Issues missing,27124,2013-01-25 19:42:32,274,2014,1,5,False,-6,Commits or Issues or PRs missing,176,90,21355,-1,38591,284,1492,3010,Issues missing,39.02,8,0,0,4,14.771927079258274,686,2013-01-25,2020-12-29,12,https://github.com/apache/PredictionIO
Samza,3140447.373548438,6855,1869,2015-03-14 07:00:05,30,319,9,14,False,-13,454,192,432,40885,58,3251,20663,674,2271,0.04273109970589931,100.42,41,0,0,6,11.018972697825081,454,2015-03-14,2023-06-22,12,https://github.com/apache/Samza
Mesos,5230798.474435473,38668,11817,2013-07-17 07:00:13,327,1695,-6,11,False,-7,1693,438,981,38856,42321,60606,68822,2596,19314,0.011736344755723317,80.94,0,17,28,92,23.788211138930127,485,2013-07-17,2023-04-12,12,https://github.com/apache/Mesos
REEF,2778333.256623267,8774,292,2014-10-23 07:00:10,52,104,-48,5,True,-8,202,89,492,74086,39643,23478,51017,217,3741,0.012441023094114725,40.18,44,0,0,7,8.369390681882255,180,2014-10-23,2022-07-06,12,https://github.com/apache/REEF
Shiro,56551.0,4,10506,2009-08-29 08:00:17,-335,2288,84,4,False,8,111,77,467,64730,15945,70358,80761,117,3484,0.0,70.95,7,0,0,3,2.614704256495301,145,2009-08-29,2023-06-05,12,https://github.com/apache/Shiro
servicecomb-java-chassis,2519710.7302001743,5222,4493,2017-05-18 09:29:30,228,787,-78,2,False,-14,268,156,170,17125,22880,18533,79659,152,3752,0.00395987328405491,74.44,22,0,0,0,8.953458060117509,73,2017-05-18,2023-06-05,12,https://github.com/apache/servicecomb-java-chassis
Ignite,494154.0303030303,136,10789,2015-02-19 08:00:05,3357,1849,60,10,False,-7,529,426,2324,9693,56676,32816,77033,2277,31307,0.0,81.77,0,17,45,116,9.08068122688343,465,2015-02-19,2023-07-05,12,https://github.com/apache/Ignite
Zeppelin,2010741.5684104343,35982,14905,2015-03-25 07:00:06,56,2757,-65,5,False,-23,2571,526,207,50261,1044,77565,54755,1259,5740,0.029530320693947718,35.94,19,3,8,27,23.24671055908045,455,2015-03-25,2023-06-19,12,https://github.com/apache/Zeppelin
TVM,1222827.3922027291,13730,22833,2016-10-12 22:20:28,-559,3073,33,7,False,96,1348,818,1784,15847,69939,47578,31405,973,10177,0.0068657140670609716,57.58,0,14,41,172,11.945692368815134,419,2016-10-12,2023-06-21,12,https://github.com/apache/TVM
APISIX,698581.3416501182,23201,25997,2019-04-10 02:02:05,137,2223,53,5,False,33,945,357,2145,52215,85960,26262,42108,1951,2165,0.006508561691667365,7.76,35,1,0,9,29.18678577176887,403,2019-04-10,2023-05-27,12,https://github.com/apache/APISIX
Gobblin,1102031.1138770047,2743,5005,2014-12-01 18:10:50,100,735,16,9,False,-6,357,187,353,56831,1097,32808,2750,324,5858,0.004814958267830155,49.28,41,0,0,14,6.5636338321170875,245,2014-12-01,2023-05-30,12,https://github.com/apache/Gobblin
jUDDI,4744625.808772923,900,55,2014-02-21 08:00:09,33,17,2,2,False,-2,27,7,0,52072,-1,0,84452,173,3043,0.003953560917388886,16.04,24,5,31,24,50.4834402773903,439,2014-02-21,2023-02-27,12,https://github.com/apache/jUDDI
ODFToolkit,5458875.13297303,775,101,2012-07-28 07:00:12,6,29,0,1,True,1,95,5,0,84920,-1,80789,-1,120,1200,0.01047139389108301,13.97,30,2,17,23,63.75281461095822,259,2012-07-28,2018-10-02,12,https://github.com/apache/ODFToolkit
incubator-retired-Ripple,1882096.3603880606,278,405,2013-04-08 07:20:21,27,59,-10,2,False,-2,114,25,0,10228,-1,14672,39544,138,1006,0.008267090620031796,47.79,11,0,1,0,18.395158909770736,99,2013-04-08,2016-01-31,12,https://github.com/apache/incubator-retired-Ripple
Mynewt-core,5157541.646616542,665,1846,2015-10-29 07:00:07,378,352,0,6,False,4,193,149,959,51636,7733,42838,76795,367,10445,5.967979079520609e-05,2.13,0,30,106,157,28.248173917564184,623,2015-10-29,2023-06-01,12,https://github.com/apache/Mynewt-core
SystemML,12526342.832039919,6487,2372,2015-11-10 08:00:06,169,432,-60,2,False,-5,305,161,166,39418,0,50453,58045,937,7625,0.002346722690014695,53.5,0,35,30,94,12.829148653556272,947,2015-11-10,2023-07-05,12,https://github.com/apache/SystemML
Accumulo,13978907.876366321,32959,2377,2011-10-06 07:00:09,288,425,81,3,False,6,547,203,1133,6541,84259,16472,8334,349,11812,0.023701425245704774,47.84,0,9,21,59,20.37519116397621,464,2011-10-06,2023-06-06,12,https://github.com/apache/Accumulo
Calcite,2750670.6920155487,35059,9711,2014-06-25 07:00:07,42,1979,87,1,False,19,1508,411,1449,84884,46726,31069,53143,907,4559,0.03921940763399685,49.64,0,5,30,65,5.918698682550516,466,2014-06-25,2023-05-27,12,https://github.com/apache/Calcite
CarbonData,2539688.144278939,6873,3444,2016-06-28 07:00:06,414,712,-157,6,False,-36,583,235,229,31905,-1,21086,56059,844,5185,0.028382012928797246,69.06,0,11,6,97,11.864714974088553,361,2016-06-28,2023-04-28,12,https://github.com/apache/CarbonData
CloudStack,2416453.158125667,11732,3836,2013-04-29 22:27:12,2743,1002,63,15,False,-81,770,577,1688,14700,65684,66333,37731,563,49409,0.0006735151824325902,45.63,0,45,135,244,23.12449830125917,537,2013-04-29,2023-07-07,12,https://github.com/apache/CloudStack
Iceberg,2609149.4266802445,11088,10266,2018-11-19 16:26:46,-265,1612,-2,6,False,55,726,312,1146,11708,81816,47538,34822,595,3989,0.0003931181204328924,117.54,23,0,3,19,57.69391076532232,151,2018-11-19,2023-07-05,12,https://github.com/apache/Iceberg
MetaModel,4544793.764252634,1725,454,2013-08-07 07:00:14,13,148,0,2,False,-2,163,49,534,38165,-1,83487,54290,285,668,0.0260387811634349,58.67,40,0,0,2,5.719104007038897,119,2013-08-07,2021-06-23,12,https://github.com/apache/MetaModel
incubator-Myriad,5416660.542429188,827,383,2015-04-04 07:00:05,64,71,5,3,True,-10,83,39,17,55581,40874,30119,10142,160,293,0.013482767337996124,16.57,7,0,2,1,9.67164868140112,125,2015-04-04,2023-04-16,12,https://github.com/apache/incubator-Myriad
Nutch,8643543.426774736,17391,6388,2009-05-21 01:17:48,-13,1212,2,5,False,1,668,91,168,63245,78821,6318,52210,1717,2500,0.009532422635674746,19.59,22,4,2,36,15.463062359715039,250,2009-05-21,2023-05-23,12,https://github.com/apache/Nutch
Ambari,724845.2096878157,108630,5423,2011-09-23 07:00:08,231,1593,33,13,False,5,1730,302,5396,2516,71721,38463,41014,2381,35410,0.04914421376592121,70.12,0,25,56,132,19.590923681487492,437,2011-09-23,2023-05-25,12,https://github.com/apache/Ambari
incubator-AriaTosca,2021894.153536083,1977,104,2016-08-28 07:00:07,15,46,-26,2,False,-5,45,14,13,30471,76543,36521,46687,39,166,0.05902578796561605,57.47,25,0,0,0,4.990767080900334,85,2016-08-28,2018-07-15,12,https://github.com/apache/incubator-AriaTosca
Airflow,981268.9725315516,42777,73697,2015-04-13 18:04:58,-850,12467,600,5,False,207,4406,2556,6120,,80793,48015,39650,5042,22722,0.016981101349205704,102.45,23,1,26,21,20.89982662383425,251,2015-04-13,2023-06-22,12,https://github.com/apache/Airflow
incubator-retired-Gossip,3350083.1934470586,562,601,2016-05-28 07:00:05,31,115,-11,2,True,-7,55,15,0,,-1,,34730,26,184,0.015492957746478873,60.95,1,0,0,0,7.396449704142012,62,2016-05-28,2018-08-27,12,https://github.com/apache/incubator-retired-Gossip
MADlib,4578358.876266247,2368,985,2015-09-19 07:00:06,0,139,-6,5,False,-4,166,49,0,,-1,,22978,401,2655,0.03138075313807531,0.67,0,18,19,32,29.24762463969254,510,2015-09-19,2023-05-24,12,https://github.com/apache/MADlib
Metron,1536451.5308570499,17915,2191,2015-12-08 08:00:05,152,517,-32,4,False,-16,267,87,0,,-1,,70919,654,1014,0.009982371991964908,55.02,44,2,2,11,16.622195269860523,243,2015-12-08,2021-01-11,12,https://github.com/apache/Metron
OpenWhisk,4038937.170552147,8876,13297,2016-02-18 21:16:19,278,1159,-196,9,False,-31,421,244,788,,22804,,22215,639,2435,0.0025610405306245774,126.91,40,0,2,7,8.22775635636216,165,2016-02-18,2023-05-31,12,https://github.com/apache/OpenWhisk
NetBeans,6163652.850485148,24559,5354,2017-09-01 07:00:11,396,770,-288,1,False,-32,2944,245,4028,,59243,,35397,1387,8666,0.014794382484384739,31.93,0,50,558,1843,28.506458371197898,2404,2017-09-01,2023-06-02,12,https://github.com/apache/NetBeans
Ratis,2242426.3148876266,9589,2408,2017-01-31 08:00:07,-100,356,6,2,False,10,287,98,49,,17936,,257,123,1728,0.06891093288307303,48.23,10,0,1,2,4.840945852268351,108,2017-01-31,2023-07-05,12,https://github.com/apache/Ratis
