project,COM-1,COM-3,POP-4,STA-1,STA-2,STA-4,STA-5,STA-6,STA-7,STA-10,STA-11,STA-12,TEC-1,TEC-2.1,TEC-2.2,TEC-2.3,TEC-2.4,TEC-4,TEC-5,SWQ-1,SWQ-4.1,SWQ-4.2,SWQ-4.3,SWQ-4.4,SWQ-4.5,SWQ-4.6,SWQ-4.7,init,end,frequency(weeks),project_url
Deltacloud,1942697.7177250981,2384,172,2010-07-29 23:31:00,83,24,0,2,True,-4,126,36,0,21353,-1,71819,65397,88,2586,0.034282064021577116,159.19,14,0,2,0,27.735445895823254,94,2010-07-29,2020-09-22,12,https://github.com/apache/Deltacloud
DirectMemory,1849309.6265779824,557,133,2011-10-15 07:00:08,69,27,0,1,True,-6,42,10,0,61126,-1,0,76108,10,642,0.008938303902332679,40.69,3,0,2,0,7.289701062667594,78,2011-10-15,2023-04-17,12,https://github.com/apache/DirectMemory
DistributedLog,1494305.4623906256,1144,443,2016-07-22 07:00:06,28,73,-33,1,True,-7,61,29,0,33602,75865,57734,25760,53,310,0.005411346918068826,43.83,40,1,6,10,5.70827425330467,136,2016-07-22,2023-04-17,12,https://github.com/apache/DistributedLog
DeltaSpike,7193572.719667012,3736,420,2013-06-04 07:00:12,29,130,0,2,False,-4,306,72,1148,68813,-1,30581,44057,63,2499,0.04525107045543013,84.11,37,0,0,7,2.821631051024858,141,2013-06-04,2023-05-10,12,https://github.com/apache/DeltaSpike
Derby,7327678.1212651245,21343,744,2011-06-19 07:00:34,102,138,0,4,False,-9,385,13,0,57229,-1,0,67715,117,8152,0.04950248756218906,95.1,0,22,53,170,10.741400427322358,901,2011-06-19,2023-05-19,12,https://github.com/apache/Derby
Drill,4192754.4094822877,57398,4573,2012-09-05 07:00:26,-29,945,13,8,False,6,1222,237,387,57544,41014,19100,12410,250,4375,0.08011226478201437,56.59,0,10,12,57,11.382147955327904,358,2012-09-05,2023-05-23,12,https://github.com/apache/Drill
CXF,5350733.288340371,13959,3014,2014-02-19 08:00:08,346,1380,21,2,False,-8,1768,234,573,26825,22704,82766,3314,965,36012,0.04012718226513969,118.25,0,1,19,77,13.055786411801371,270,2014-02-19,2023-05-29,12,https://github.com/apache/CXF
Eagle,1588072.006220073,4618,1010,2015-11-18 08:00:06,111,190,-84,3,True,-9,131,45,0,73060,-1,43340,62996,134,990,0.011411428250995346,29.28,42,1,0,9,15.598043574922187,246,2015-11-18,2020-11-20,12,https://github.com/apache/Eagle
Empire-db,12470583.921762895,779,179,2011-07-14 07:03:04,-2,27,1,1,False,0,53,14,0,5424,-1,38809,6314,142,1598,0.010586159576553617,6.37,35,8,2,6,13.308558005819865,140,2011-07-14,2023-05-22,12,https://github.com/apache/Empire-db
incubator-retired-Edgent,1980720.908269972,1966,562,2016-03-10 08:00:06,349,140,-124,2,False,-13,63,23,0,45049,-1,42710,30009,177,1228,0.00448715403248223,69.01,14,1,1,6,7.370239368265197,430,2016-03-10,2019-11-01,12,https://github.com/apache/incubator-retired-Edgent
Etch,11666261.171568867,469,43,2009-03-27 15:41:55,32,9,PRs missing,3,False,-3,Commits or Issues or PRs missing,6,0,PRs missing,PRs missing,PRs missing,PRs missing,216,455,0.0054585152838427945,92.36,36,1,3,5,11.387594119756185,213,2009-03-27,2015-05-18,12,https://github.com/apache/Etch
ESME,4435278.189178218,686,43,2010-05-26 23:38:08,303,11,1,2,True,-4,21,9,0,43731,-1,0,43731,90,2060,0.04081033470346448,12.3,5,0,0,0,14.701921899865345,98,2010-05-26,2023-04-18,12,https://github.com/apache/ESME
Falcon,1868437.627718405,12423,315,2013-07-20 07:00:14,80,117,0,6,False,-4,231,58,0,84705,-1,29985,28092,1258,1298,0.0368270169801216,63.42,39,2,4,21,12.862245365221828,327,2013-07-20,2019-07-25,12,https://github.com/apache/Falcon
CouchDB,17488680.689644292,26048,12425,2009-05-21 02:03:38,117,1039,126,2,False,8,1602,268,3859,10689,74697,14480,12566,546,16458,0.05688571498447015,55.19,7,0,15,1,16.37939050678389,111,2009-05-21,2023-05-27,12,https://github.com/apache/CouchDB
FtpServer,3646881.0218484183,399,209,2011-04-21 07:00:07,79,57,1,1,True,-2,104,2,0,75637,-1,0,45016,79,1084,0.029199960540593865,58.62,21,0,0,6,12.282972069448938,149,2011-04-21,2023-04-24,12,https://github.com/apache/FtpServer
FreeMarker,1747141.8697292819,909,1957,2015-09-04 07:00:05,93,247,-6,1,False,-1,197,36,0,20631,-1,2493,14208,479,3026,0.004749841671944269,73.69,3,13,7,26,8.664883671392394,264,2015-09-04,2023-05-20,12,https://github.com/apache/FreeMarker
incubator-retired-Gearpump,747920.0069191175,2026,693,2016-04-13 07:00:08,64,97,-55,3,False,-9,59,18,0,16223,-1,29214,40590,526,1761,0.00637085557898515,25.16,14,0,0,3,3.010179562235135,153,2016-04-13,2018-08-28,12,https://github.com/apache/incubator-retired-Gearpump
Giraph,1298573.5597413937,8018,1522,2011-08-28 07:00:33,50,302,2,4,True,-8,298,57,0,20927,-1,28236,39915,9,1165,0.020250723240115717,18.19,42,0,2,19,7.823909503213266,179,2011-08-28,2023-04-14,12,https://github.com/apache/Giraph
Hama,2016328.7287991385,5965,337,2010-08-25 07:00:06,71,75,1,2,False,-1,124,25,0,38707,-1,0,77305,553,1171,0.003947085927565193,13.52,30,0,2,4,10.131879279736241,170,2010-08-25,2020-02-11,12,https://github.com/apache/Hama
Harmony,1158840.38778382,1028,189,2010-05-26 23:38:08,364,37,PRs missing,1,False,-8,Commits or Issues or PRs missing,14,0,PRs missing,PRs missing,PRs missing,PRs missing,61,1389,0.07446035699460357,63.54,0,50,126,349,16.962352511435896,3730,2010-05-26,2011-10-30,12,https://github.com/apache/Harmony
Geronimo,5353122.073008941,19,92,2009-07-01 08:09:43,352,22,5,4,False,-9,32,25,0,34871,-1,0,34872,1082,15550,0.002156340654169422,24.98,0,4,10,60,19.009156786611573,350,2009-07-01,2023-04-17,12,https://github.com/apache/Geronimo
incubator-retired-HORN,1318969.9274137933,222,77,2015-09-18 07:00:05,17,17,-8,1,False,-3,22,6,0,15820,-1,4258,10730,20,20,0.058091286307053944,3.61,3,0,0,0,35.95406360424028,56,2015-09-18,2021-11-17,12,https://github.com/apache/incubator-retired-HORN
HCatalog,1505300.596588132,3988,169,2011-04-14 07:00:07,52,47,1,2,True,-3,93,9,0,-1,-1,-1,-1,593,113,0.10196394942157654,82.43,24,2,0,3,6.890167294848905,156,2011-04-14,2023-04-14,12,https://github.com/apache/HCatalog
incubator-retired-HTrace,950294.8571021509,1486,293,2015-04-22 07:00:05,52,81,0,2,True,-5,37,10,0,26428,-1,14685,44448,117,548,0.06681112314915132,24.41,41,1,6,4,49.915839988539915,285,2015-04-22,2018-04-11,12,https://github.com/apache/incubator-retired-HTrace
Helix,3831464.957144224,4539,1053,2014-01-13 08:00:06,85,207,74,6,False,5,211,86,1352,38996,73458,54003,29776,254,4719,0.015257641065830722,84.84,32,1,7,21,7.642750213857998,393,2014-01-13,2023-06-01,12,https://github.com/apache/Helix
Impala,6864444.1254755845,34394,2384,2016-04-13 07:00:08,77,464,0,16,False,6,855,172,0,59971,-1,59020,41131,1216,10730,0.030396876312497982,21.44,0,13,77,126,40.737250817778495,907,2016-04-13,2023-06-01,12,https://github.com/apache/Impala
incubator-retired-iota,510018.75186842104,229,99,2016-02-06 08:00:06,1,33,0,2,False,-1,26,11,0,4847,-1,53516,3863,37,155,0.0011597564511452595,76.0,2,0,0,0,15.654688145394465,43,2016-02-06,2020-05-20,12,https://github.com/apache/incubator-retired-iota
Isis,10178092.57520137,28326,1864,2012-11-30 08:00:24,-721,300,134,2,False,2,170,57,8032,63300,570,54642,27130,450,23842,0.0028122822347827047,10.42,37,1,41,13,7.144350955692817,616,2012-11-30,2023-06-02,12,https://github.com/apache/Isis
ant-ivy,10443274.708573185,950,234,2014-05-28 07:00:08,6,116,0,2,True,-2,204,26,0,69514,-1,49739,20072,1001,2386,0.07817511225144323,69.15,31,0,3,17,3.9669465405462856,174,2014-05-28,2023-06-17,12,https://github.com/apache/ant-ivy
Jackrabbit,2115730.915356426,63994,819,2009-05-21 01:43:24,612,205,0,3,False,-9,949,39,0,62185,-1,42437,79935,927,13695,0.1011803549319026,47.86,0,22,14,65,11.3925981053004,619,2009-05-21,2023-07-08,12,https://github.com/apache/Jackrabbit
db-jdo,4289662.386710456,219,44,2018-07-20 14:42:36,-13,10,0,1,False,4,25,10,131,39281,33596,36922,53073,194,1940,0.0038121502149403843,3.7,0,50,39,99,38.85691897054142,464,2018-07-20,2023-06-10,12,https://github.com/apache/db-jdo
jclouds,4734377.477020818,5993,438,2014-01-07 08:00:06,103,116,3,3,False,-19,657,210,489,13342,-1,84876,44411,538,12046,0.010529361445176874,79.02,12,4,1,16,11.570496417604913,210,2014-01-07,2023-05-10,12,https://github.com/apache/jclouds
Johnzon,3129026.355283184,1058,152,2014-09-11 07:00:06,48,66,6,2,False,0,131,35,0,74710,-1,67966,49838,78,939,0.060810810810810814,110.17,29,5,2,12,8.52731177802287,225,2014-09-11,2023-05-22,12,https://github.com/apache/Johnzon
Joshua,5767237.8681283165,611,267,2016-03-25 07:00:06,209,65,-24,3,True,-12,62,32,0,73973,-1,12057,79127,242,4139,0.0007553578025152863,11.1,25,5,8,22,20.812156280136577,429,2016-03-25,2021-11-13,12,https://github.com/apache/Joshua
JSPWiki,6843573.695720203,2940,280,2009-03-27 15:41:58,138,94,14,1,False,0,220,22,0,49187,-1,22149,80048,528,9610,0.006357866365256705,23.25,41,0,7,5,9.989461340933042,124,2009-03-27,2023-05-30,12,https://github.com/apache/JSPWiki
Juneau,17538999.42266667,523,184,2016-08-02 07:00:07,208,40,5,1,False,-7,53,20,1062,36029,-1,67522,34581,305,2825,0.00022971280430109878,63.77,0,13,11,35,24.591086078298158,403,2016-08-02,2023-06-01,12,https://github.com/apache/Juneau
Kalumet,1541798.81116,92,20,2011-11-06 07:00:10,40,6,2,2,True,-1,11,3,0,-1,-1,-1,-1,2,192,0.0017554125219426564,1.01,39,1,7,63,37.65421472427842,547,2011-11-06,2023-04-14,12,https://github.com/apache/Kalumet
Knox,3960454.214870292,10713,565,2014-03-01 08:00:06,68,235,2,4,False,0,412,90,463,16477,57911,14728,54166,90,3083,0.0562722909603276,76.56,44,1,6,6,31.015159408872,305,2014-03-01,2023-05-31,12,https://github.com/apache/Knox
Kudu,9235713.623403035,7543,4048,2016-01-29 08:00:06,268,634,5,4,False,-7,518,167,0,68014,-1,15591,76625,1760,9413,0.021774045239992643,21.63,0,5,58,88,8.179514773392908,317,2016-01-29,2023-06-01,12,https://github.com/apache/Kudu
Geode,3974051.98329853,57677,5095,2015-04-30 07:00:05,65,679,-7,3,False,-22,590,253,571,53990,49320,53925,6269,1807,11478,0.024234364854166853,22.39,0,8,73,179,16.54115275848678,1599,2015-04-30,2023-06-18,12,https://github.com/apache/Geode
logging-log4php,9917073.167291267,169,281,2012-12-08 08:00:18,33,79,-1,2,True,-3,72,15,5,38035,-1,5038,83148,3,1044,0.02599388379204893,74.94,9,0,0,1,1.276897611728541,85,2012-12-08,2020-12-18,12,https://github.com/apache/logging-log4php
Lucy,3056614.7383840824,480,220,2011-11-19 08:00:16,226,26,0,2,False,-4,37,11,0,48132,-1,20551,48161,24,3417,0.006492266564827191,19.95,14,14,8,25,9.83782815159932,512,2011-11-19,2018-03-15,12,https://github.com/apache/Lucy
