project,COM-1,COM-2,POP-1,STA-1,STA-2,STA-3,STA-4,STA-5,STA-6,STA-7,STA-8,STA-9,TEC-1,TEC-2,TEC-3,TEC-4,SWQ-1,SWQ-2.1,SWQ-2.2,SWQ-2.3,SWQ-2.4,SWQ-2.5,SWQ-2.6,SWQ-2.7,init,end,frequency (weeks),project_url
logging-log4net,26779525.880734753,841,1782,7,260,308,-11,2,False,-3,183,17,114,27388,126,2285,0.0652377972465582,18.34,19,0,4,7,11.468562541657407,207,2017-04-26,2023-05-20,12,https://github.com/apache/logging-log4net
Mnemonic,2303207.7715053526,1844,290,8,46,66,-13,1,False,0,81,34,95,17137,117,585,0.04664723032069971,33.01,14,0,1,4,32.55459216441876,152,2016-03-29,2023-05-31,12,https://github.com/apache/Mnemonic
NPanday,14766849.694194756,1040,43,14,46,15,3,3,True,-2,62,7,0,71660,109,2020,0.015419091578031976,26.47,43,0,5,14,15.715368785876748,212,2010-09-18,2023-05-31,12,https://github.com/apache/NPanday
OODT,7170435.904155253,2387,188,11,129,64,5,3,False,-9,129,52,223,64863,777,2135,0.0011474151044206138,24.07,45,0,11,13,34.5919090075827,167,2013-01-21,2023-04-17,12,https://github.com/apache/OODT
climate,3699731.3453513547,4036,390,10,132,116,-49,3,False,-8,84,43,65,79733,184,2868,0.008533616854592765,37.66,36,6,2,16,20.281325407568712,405,2014-03-08,2020-10-05,12,https://github.com/apache/climate
incubator-retired-OpenAz,6699475.030000001,33,58,9,38,26,3,2,False,-1,16,6,0,38646,4,68,0.0,118.24,12,7,6,32,18.16517751961868,463,2015-04-11,2016-10-20,12,https://github.com/apache/incubator-retired-OpenAz
incubator-retired-Pirk,459950.6767878788,526,142,8,231,26,-88,1,False,-6,26,10,0,39786,76,219,7.052426831071627e-05,30.12,2,0,0,7,10.345285524568393,184,2016-06-19,2017-06-16,12,https://github.com/apache/incubator-retired-Pirk
OpenNLP,13268994.84399815,4979,2896,13,51,424,3,2,False,5,302,65,134,69646,82,2838,0.022605736509479824,27.82,11,9,6,36,21.588981866298894,522,2011-11-09,2023-07-04,12,https://github.com/apache/OpenNLP
PredictionIO,Issues missing,Issues missing,27124,11,274,2014,1,5,False,-6,Commits or Issues or PRs missing,176,90,284,1492,3010,Issues missing,39.02,8,0,0,4,14.771927079258274,686,2013-01-25,2020-12-29,12,https://github.com/apache/PredictionIO
Samza,3140447.373548438,6855,1869,9,30,319,9,14,False,-13,454,192,432,20663,674,2271,0.04273109970589931,100.42,41,0,0,6,11.01897269782508,454,2015-03-14,2023-06-22,12,https://github.com/apache/Samza
Mesos,5230798.474435473,38668,11817,11,327,1695,-6,11,False,-7,1693,438,981,68822,2596,19314,0.011736344755723317,80.94,0,17,28,92,23.788211138930127,485,2013-07-17,2023-04-12,12,https://github.com/apache/Mesos
REEF,2778333.256623267,8774,292,10,52,104,-48,5,True,-8,202,89,492,51017,217,3741,0.012441023094114725,40.18,44,0,0,7,8.369390681882255,180,2014-10-23,2022-07-06,12,https://github.com/apache/REEF
Shiro,56551.0,4,10506,15,-335,2288,84,4,False,8,111,77,467,80761,117,3484,0.0,70.95,7,0,0,3,2.614704256495301,145,2009-08-29,2023-06-05,12,https://github.com/apache/Shiro
servicecomb-java-chassis,2519710.7302001743,5222,4493,7,228,787,-78,2,False,-14,268,156,170,79659,152,3752,0.00395987328405491,74.44,22,0,0,0,8.953458060117509,73,2017-05-18,2023-06-05,12,https://github.com/apache/servicecomb-java-chassis
Ignite,494154.0303030303,136,10789,9,3357,1849,60,10,False,-7,529,426,2324,77033,2277,31307,0.0,81.77,0,17,45,116,9.08068122688343,465,2015-02-19,2023-07-05,12,https://github.com/apache/Ignite
Zeppelin,2010741.5684104343,35982,14905,9,56,2757,-65,5,False,-23,2571,526,207,54755,1259,5740,0.029530320693947718,35.94,19,3,8,27,23.24671055908045,455,2015-03-25,2023-06-19,12,https://github.com/apache/Zeppelin
TVM,1222827.3922027291,13730,22833,8,-559,3073,33,7,False,96,1348,818,1784,31405,973,10177,0.0068657140670609716,57.58,0,14,41,172,11.945692368815134,419,2016-10-12,2023-06-21,12,https://github.com/apache/TVM
APISIX,698581.3416501182,23201,25997,5,137,2223,53,5,False,33,945,357,2145,42108,1951,2165,0.006508561691667365,7.76,35,1,0,9,29.18678577176887,403,2019-04-10,2023-05-27,12,https://github.com/apache/APISIX
Gobblin,1102031.1138770047,2743,5005,10,100,735,16,9,False,-6,357,187,353,2750,324,5858,0.004814958267830155,49.28,41,0,0,14,6.563633832117088,245,2014-12-01,2023-05-30,12,https://github.com/apache/Gobblin
jUDDI,4744625.808772923,900,55,10,33,17,2,2,False,-2,27,7,0,84452,173,3043,0.003953560917388886,16.04,24,5,31,24,50.4834402773903,439,2014-02-21,2023-02-27,12,https://github.com/apache/jUDDI
ODFToolkit,5458875.13297303,775,101,12,6,29,0,1,True,1,95,5,0,-1,120,1200,0.01047139389108301,13.97,30,2,17,23,63.75281461095822,259,2012-07-28,2018-10-02,12,https://github.com/apache/ODFToolkit
incubator-retired-Ripple,1882096.3603880606,278,405,11,27,59,-10,2,False,-2,114,25,0,39544,138,1006,0.008267090620031796,47.79,11,0,1,0,18.395158909770736,99,2013-04-08,2016-01-31,12,https://github.com/apache/incubator-retired-Ripple
Mynewt-core,5157541.646616542,665,1846,9,378,352,0,6,False,4,193,149,959,76795,367,10445,5.967979079520609e-05,2.13,0,30,106,157,28.248173917564184,623,2015-10-29,2023-06-01,12,https://github.com/apache/Mynewt-core
SystemML,12526342.832039919,6487,2372,9,169,432,-60,2,False,-5,305,161,166,58045,937,7625,0.002346722690014695,53.5,0,35,30,94,12.829148653556272,947,2015-11-10,2023-07-05,12,https://github.com/apache/SystemML
